name,nationalteam,battingStyle,bowlingStyle,playingRole,image,team
Ferisco Adams,South Africa,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/297400/297407.1.jpg,Paarl Royals
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/322000/322031.png,Paarl Royals
Codi Yusuf,South Africa,Right hand Bat,Right arm Medium,Allrounder,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Paarl Royals
Andile Phehlukwayo,South Africa,Left hand Bat,Right arm Medium fast,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317969.jpg,Paarl Royals
Eoin Morgan,England,Left hand Bat,Right arm Medium,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/303900/303947.jpg,Paarl Royals
Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317951.jpg,Paarl Royals
Corbin Bosch,South Africa,Right hand Bat,Right arm Fast medium,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/224500/224563.1.jpg,Paarl Royals
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317943.jpg,Paarl Royals
Jason Roy,England,Right hand Bat,,Opening Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/303900/303963.jpg,Paarl Royals
Ramon Simmonds,West Indies,Left hand Bat,Left arm Fast medium,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Paarl Royals
Mitchell Van Buuren,South Africa,Right hand Bat,Legbreak Googly,Middle order Batter,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Paarl Royals
Dane Vilas,South Africa,Right hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/312100/312187.png,Paarl Royals
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/257600/257637.1.jpg,Pretoria Capitals
Wayne Parnell,South Africa,Left hand Bat,Left arm Medium fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/263700/263777.1.jpg,Pretoria Capitals
Will Jacks,England,Right hand Bat,Right arm Offbreak,Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/296200/296209.1.jpg,Pretoria Capitals
Kusal Mendis,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/303800/303835.png,Pretoria Capitals
Shane Dadswell,South Africa,Right hand Bat,Right arm Medium fast,Middle order Batter,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Pretoria Capitals
Cameron Scott Delport,South Africa,Left hand Bat,Right arm Medium,Top order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/312100/312191.png,Pretoria Capitals
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317968.jpg,Pretoria Capitals
Senuran Muthusamy,South Africa,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/315300/315335.jpg,Pretoria Capitals
Eathan Bosch,South Africa,Right hand Bat,Right arm Fast,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Pretoria Capitals
Daryn Dupavillon,South Africa,Right hand Bat,Right arm Fast,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Pretoria Capitals
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/303600/303603.jpg,Pretoria Capitals
Marco Marais,South Africa,Right hand Bat,Right arm Medium fast,,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Pretoria Capitals
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/312100/312181.png,Pretoria Capitals
Theunisde Bruyn,South Africa,Right hand Bat,Right arm Medium fast,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/148400/148440.jpg,Pretoria Capitals
Adil Rashid,England,Right hand Bat,Legbreak,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/289600/289662.1.jpg,Pretoria Capitals
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/312100/312176.png,Pretoria Capitals
Migael Pretorius,South Africa,Right hand Bat,Right arm Fast medium,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Pretoria Capitals
Shaun von Berg,South Africa,Right hand Bat,Legbreak,Bowling Allrounder,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Pretoria Capitals
Thomas Abell,England,Right hand Bat,Right arm Medium,Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/297700/297791.1.jpg,Sunrisers Eastern Cape
Marques Ackerman,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Sunrisers Eastern Cape
Ottniel Baartman,South Africa,Right hand Bat,Right arm Medium fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/224900/224923.1.jpg,Sunrisers Eastern Cape
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317970.jpg,Sunrisers Eastern Cape
Mason Sidney Crane,England,Right hand Bat,Legbreak Googly,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/304300/304326.jpg,Sunrisers Eastern Cape
Jordan Cox,England,Right hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/325900/325921.4.jpg,Sunrisers Eastern Cape
Brydon Carse,England,Right hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/325900/325920.4.jpg,Sunrisers Eastern Cape
Marco Jansen,South Africa,Right hand Bat,Left arm Medium fast,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/335000/335050.4.jpg,Sunrisers Eastern Cape
Jordan Hermann,South Africa,Left hand Bat,,Middle order Batter,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Sunrisers Eastern Cape
Junaid Dawood,South Africa,Right hand Bat,Legbreak,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/327000/327070.1.jpg,Sunrisers Eastern Cape
Sarel Erwee,South Africa,Left hand Bat,Right arm Offbreak,Opening Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/345900/345939.4.jpg,Sunrisers Eastern Cape
Adam Rossington,England,Right hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/145400/145487.1.jpg,Sunrisers Eastern Cape
James Fuller,England,Right hand Bat,Right arm Fast medium,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/131000/131099.1.jpg,Sunrisers Eastern Cape
Ayabulela Gqamane,South Africa,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Sunrisers Eastern Cape
Sisanda Magala,South Africa,Right hand Bat,Right arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/324700/324707.1.jpg,Sunrisers Eastern Cape
Roelof  van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/217400/217463.1.jpg,Sunrisers Eastern Cape
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/345900/345940.4.jpg,Sunrisers Eastern Cape
JJ Smuts,South Africa,Right hand Bat,Slow Left arm Orthodox,Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317956.jpg,Sunrisers Eastern Cape
